5000A,,CEUTA, MONTE HACHO,CEUTA,355344N,051732W,200,1935-01-01,1986-12-31
5000C,60320,CEUTA,CEUTA,355319N,052049W,87,2003-06-01,2022-02-02,
4121C,,CIUDAD REAL, INSTITUTO,CIUDAD REAL,385916N,035545W,627,1920-01-01,1970-10-31
4121,8348,CIUDAD REAL,CIUDAD REAL,385921N,035513W,628,1970-11-01,2022-02-02,
4220X,8271,PUEBLA DE DON RODRIGO,CIUDAD REAL,390519N,043659W,486,2006-11-10,2022-02-02,
4103X,8276,TOMELLOSO,CIUDAD REAL,391009N,030027W,662,2006-11-10,2022-02-02,
4147X,8351,VALDEPENAS,CIUDAD REAL,384502N,032329W,700,2006-11-09,2022-02-02,
4148,8345,VISO DEL MARQUES,CIUDAD REAL,383105N,033400W,804,1964-01-01,2022-02-02,
5402,8410,CORDOBA AEROPUERTO,CORDOBA,375056N,045048W,90,1959-04-01,2022-02-02,
5427X,8412,DONA MENCIA,CORDOBA,373322N,042114W,650,2000-02-19,2022-02-02,
4267X,8335,HINOJOSA DEL DUQUE,CORDOBA,382955N,050716W,551,2000-03-01,2022-02-02,
5390Y,8346,VILLANUEVA DE CORDOBA,CORDOBA,381959N,043632W,750,2000-01-01,2022-02-02,
3044X,8230,CANIZARES,CUENCA,403149N,020900W,928,2006-11-03,2022-02-01,
8096,8231,CUENCA,CUENCA,400402N,020755W,948,1951-01-01,2022-02-02,
4090Y,8256,SAN CLEMENTE,CUENCA,392500N,022514W,728,2008-09-14,2022-02-02,
3094B,8277,TARANCON,CUENCA,400041N,030117W,808,2009-08-01,2022-02-02,
1024E,8027,DONOSTIA/SAN SEBASTIAN, IGUELDO,GIPUZKOA,431823N,020228W,251,1928-01-01,2022-02-02
1050J,8036,ELGOIBAR,GIPUZKOA,431234N,022448W,119,1997-04-01,2022-02-02,
1014,8029,HONDARRIBIA, MALKARROA,GIPUZKOA,432125N,014732W,4,1955-08-18,2022-02-02
1014A,8029,SAN SEBASTIAN AEROPUERTO,GIPUZKOA,432125N,014732W,4,2011-11-01,2022-02-02,
1041A,8026,ZUMAIA,GIPUZKOA,431808N,021504W,28,1997-04-01,2022-02-02,
1037Y,8037,ZUMARRAGA,GIPUZKOA,430448N,021903W,420,2007-12-19,2022-02-02,
367,8184,GIRONA AEROPUERTO,GIRONA,415442N,024548E,143,1973-01-01,2022-02-02,
0370B,,GIRONA, ANTIC INSTITUT,GIRONA,415848N,024931E,95,1920-01-01,1977-12-31
9585,8117,LA MOLINA,GIRONA,421957N,015622E,1703,1927-04-01,2022-02-02,
0372C,8120,PORQUERES,GIRONA,420616N,024549E,157,2013-03-08,2022-02-02,
0324A,8118,RIPOLL,GIRONA,421129N,021146E,675,1987-09-01,2022-02-02,
5047E,8424,BAZA,GRANADA,373021N,024406W,785,2000-01-01,2022-02-02,
5530E,8419,GRANADA AEROPUERTO,GRANADA,371123N,034722W,567,1972-07-01,2022-02-02,
5514,8420,GRANADA BASE AEREA,GRANADA,370814N,033753W,687,1937-12-01,2022-02-02,
5051X,8423,HUESCAR,GRANADA,375140N,023910W,1092,2001-01-01,2018-03-31,
5582A,8414,LOJA,GRANADA,370940N,040910W,760,2001-01-01,2022-02-02,
6268X,8485,MOTRIL,GRANADA,364322N,033149W,12,2000-02-03,2016-12-13,
3168C,8226,GUADALAJARA, EL SERRANILLO,GUADALAJARA,403933N,031024W,639,1985-10-11,2015-08-02
3168A,,GUADALAJARA, INSTITUTO,GUADALAJARA,403805N,031000W,685,1951-01-01,1986-04-30
3168D,8226,GUADALAJARA,GUADALAJARA,403749N,030900W,721,2011-08-01,2022-02-02,
3013,8232,MOLINA DE ARAGON,GUADALAJARA,405030N,015244W,1062,1949-09-01,2022-02-02,
3130C,8150,SIGUENZA,GUADALAJARA,410511N,023705W,1005,1984-10-01,2022-02-02,
4560Y,8380,ALAJAR,HUELVA,375207N,064030W,572,2009-06-05,2022-02-02,
4549Y,8381,AYAMONTE,HUELVA,371141N,072342W,2,2003-03-01,2022-02-02,
4642E,8383,HUELVA, RONDA ESTE,HUELVA,371642N,065442W,19,1984-06-01,2022-02-02
4605,,HUELVA,HUELVA,371524N,065659W,17,1920-01-01,1984-05-31,
5860E,8384,MOGUER, EL ARENOSILLO,HUELVA,370553N,064417W,41,1997-01-11,2022-02-02
9208E,8095,ARAGUES DEL PUERTO,HUESCA,424232N,004023W,1040,2006-02-01,2022-02-02,
